NÈMERO CATµLOGO;CATALOGACI‡N PG97;CATALOGACI‡N A 27/07/18;BIC_BIP;DENOMINACI‡N;OBSERVACIONES;VIA_CLASE_TX;VIA_NOMBRE;APP_NUM;APP_CLF;UTMX_ETRS;UTMY_ETRS
32131;Singular;Descatalogado;;CAMPOS DE DEPORTES-PISTAS;;AVENIDA;JUAN DE HERRERA;1;;438097,62;4476719,83
32129;Singular;Descatalogado;;CAMPOS DE DEPORTES-BAR;;AVENIDA;JUAN DE HERRERA;1;;438097,62;4476719,83
32130;Singular;Descatalogado;;CAMPOS DE DEPORTES-VESTUARIOS;;AVENIDA;JUAN DE HERRERA;1;;438097,62;4476719,83
32066;Singular;VolumÇtrico;;CENIM - NAVE ELECTRO-CORROSI‡N;;AVENIDA;GREGORIO DEL AMO;8;;438755,34;4477513,46
32132;Singular;Descatalogado;;CAMPOS DE DEPORTES-CASETA;;AVENIDA;JUAN DE HERRERA;1;;438097,62;4476719,83
32063;Singular;VolumÇtrico;;CENIM;;AVENIDA;GREGORIO DEL AMO;8;;438755,34;4477513,46
30914;Singular;Descatalogado;;CAPILLA;Extremadura, de 374 a 380;PASEO;EXTREMADURA;374;;434264,45;4471532,56
30914;Singular;Desaparecido por Demolici¢n Total;;EDIFICIO MANDO - P. DE EXPERIENCIAS;Extremadura, de 374 a 380;PASEO;EXTREMADURA;374;;434264,45;4471532,56
32007;Singular;VolumÇtrico;;BIBLIOTECA DERECHO;;AVENIDA;COMPLUTENSE;9;;438133,61;4478110,35
32022;Singular;Descatalogado;;FACULTAD CE. BIOL‡GICAS Y GEOL‡GICAS;;AVENIDA;COMPLUTENSE;14;;438345,69;4477833,44
32023;Singular;Descatalogado;;FACULTAD CE. BIOL‡GICAS Y GEOL‡GICAS AMPLIACI‡N;;AVENIDA;COMPLUTENSE;14;;438345,69;4477833,44
32024;Singular;Descatalogado;;FACULTAD CC. MATEMµTICAS;;AVENIDA;COMPLUTENSE;14;;438345,69;4477833,44
32025;Singular;Estructural;;CENTRO DE CµLCULO;;AVENIDA;COMPLUTENSE;22;;438334,8;4478111,03
26743;Singular;Estructural;;;;CALLE;DOCTOR ESQUERDO;44;;443220,55;4474654,26
32068;Singular;VolumÇtrico;;CENIM - NAVE 6;;AVENIDA;GREGORIO DEL AMO;8;;438755,34;4477513,46
32062;Singular;Descatalogado;;CENTRAL TêRMICA - EQUIPOS BOMBAS;;CALLE;JOSE ANTONIO NOVAIS;4;;438558,72;4477645,55
32090;Singular;Descatalogado;;HOSPITAL CL÷NICO -CALDERAS;;PLAZA;CRISTO REY;5;;439116,47;4476811,12
32064;Singular;Descatalogado;;CENIM - COBERTIZO;;AVENIDA;GREGORIO DEL AMO;8;;438755,34;4477513,46
32065;Singular;Descatalogado;;CENIM - COBERTIZO;;AVENIDA;GREGORIO DEL AMO;8;;438755,34;4477513,46
32067;Singular;VolumÇtrico;;CENIM - NAVE 5;;AVENIDA;GREGORIO DEL AMO;8;;438755,34;4477513,46
32069;Singular;VolumÇtrico;;CENIM - NAVE 7;;AVENIDA;GREGORIO DEL AMO;8;;438755,34;4477513,46
32070;Singular;VolumÇtrico;;CENIM - NAVE 8;;AVENIDA;GREGORIO DEL AMO;8;;438755,34;4477513,46
32071;Singular;VolumÇtrico;;CENIN - PABELLON COMEDORES;;AVENIDA;GREGORIO DEL AMO;8;;438755,34;4477513,46
