MXASSETNUM,C,12;DESCRIPTIO,C,105;MINTDISTRI,C,20;NOMBRE_DIS,C,20;MINTBARRIO,C,10;NOMBRE_BAR,C,50;ESTADO,C,50;INSTALLDAT,D;MINTTIPOVI,C,15;MINTNOMBRE,C,254;MINTNUMERO,C,25;MINTNDP,C,20;MODELO,C,254
4990480;SITUADO APARCABICICLETAS - C/ REINA Nº 15;01;CENTRO;014;JUSTICIA;OPERATIVO;30/07/18;CALLE;REINA;15;11004309;
4990565;SITUADO APARCABICICLETAS - C/ REINA Nº 27;01;CENTRO;014;JUSTICIA;OPERATIVO;30/07/18;CALLE;REINA;27;11004342;
4990568;SITUADO APARCABICICLETAS - C/ REINA Nº 3;01;CENTRO;014;JUSTICIA;OPERATIVO;30/07/18;CALLE;REINA;3;11004315;
4990572;SITUADO APARCABICICLETAS - C/ BARBIERI Nº 12;01;CENTRO;014;JUSTICIA;OPERATIVO;30/07/18;CALLE;BARBIERI;12;11004270;
4990575;SITUADO APARCABICICLETAS - C/ BARBIERI Nº 14;01;CENTRO;014;JUSTICIA;OPERATIVO;30/07/18;CALLE;BARBIERI;14;20005606;
4990578;SITUADO APARCABICICLETAS - C/ BARBIERI Nº 4;01;CENTRO;014;JUSTICIA;OPERATIVO;30/07/18;CALLE;BARBIERI;4;11004265;
4990581;SITUADO APARCABICICLETAS - C/ BARBIERI Nº 18;01;CENTRO;014;JUSTICIA;OPERATIVO;30/07/18;CALLE;BARBIERI;18;11004655;
4990583;SITUADO APARCABICICLETAS - C/ INFANTAS Nº27;01;CENTRO;014;JUSTICIA;OPERATIVO;30/07/18;CALLE;INFANTAS;27;11004301;
4990585;SITUADO APARCABICICLETAS - C/ LIBERTAD Nº 4;01;CENTRO;014;JUSTICIA;OPERATIVO;30/07/18;CALLE;LIBERTAD;4;11004285;
4990588;SITUADO APARCABICICLETAS - C/ LIBERTAD Nº 20;01;CENTRO;014;JUSTICIA;OPERATIVO;30/07/18;CALLE;LIBERTAD;20;20005616;
4990621;SITUADO APARCABICICLETAS - C/ INFANTAS Nº 29;01;CENTRO;014;JUSTICIA;OPERATIVO;30/07/18;CALLE;INFANTAS;29;11004300;
4990590;SITUADO APARCABICICLETAS - C/ LIBERTAD Nº 22;01;CENTRO;014;JUSTICIA;OPERATIVO;30/07/18;CALLE;LIBERTAD;22;11004662;
4990592;SITUADO APARCABICICLETAS - C/ LIBERTAD Nº 26;01;CENTRO;014;JUSTICIA;OPERATIVO;30/07/18;CALLE;LIBERTAD;26;11004664;
